Localtime,Receivetime,Week,Seconds,DataCount,PitchRate,RollRate,YawRate,LateralAcc,LongitudinalAcc,VerticalAcc,CrcCheck
2024-02-03_02:04:21,1706925861541312,2299,525879540,2,-0.0005501510407354,-0.0002935097782438,0.0008650380163177,-0.0076504014377438,0.0012262344262967,0.0038352502019805,1773351853
2024-02-03_02:04:21,1706925861550558,2299,525879550,1,-0.0003121353730242,-0.0001302435680291,0.0004215450616263,-0.0047787820064254,0.0006468017937752,0.0004954592444459,3309268737
2024-02-03_02:04:21,1706925861560650,2299,525879560,1,-0.0003203205729904,-0.0001299362112188,0.0004124338766888,-0.0055965758962528,-0.0008214446164439,0.0001032230840545,1617838943
2024-02-03_02:04:21,1706925861570887,2299,525879570,1,-0.0003271250813775,-0.0001650649265913,0.0004272010963238,-0.0053541176233574,-0.0006827373757143,0.0007297709412007,3650627272
2024-02-03_02:04:21,1706925861580827,2299,525879580,2,-0.00067626722303,-0.0003175003331191,0.0008624110721178,-0.0070280733966761,-0.0002122761983892,0.001717969005474,2868182185
2024-02-03_02:04:21,1706925861591283,2299,525879590,1,-0.00037042184505,-0.000102767644282,0.0004138936654136,-0.0034880968882351,0.0002904471572118,0.0008451575983446,4275217479
2024-02-03_02:04:21,1706925861602204,2299,525879600,1,-0.0003397667098897,-8.60234315646e-05,0.0004083680395435,-0.003175397498873,-0.0002928789338554,0.0006315621433488,1872560018
2024-02-03_02:04:21,1706925861611589,2299,525879610,1,-0.0003366713363504,-6.45921842024e-05,0.0003980645102399,-0.003611667556805,0.0013572512413908,0.0003778079002436,183794199
2024-02-03_02:04:21,1706925861621262,2299,525879620,2,-0.0008256499885633,-0.0002194810296487,0.0008277805067394,-0.0093189764965259,0.0026475048194599,-0.0038074321879984,289827559
2024-02-03_02:04:21,1706925861631288,2299,525879630,1,-0.0004041024827894,-0.0001854789288938,0.0004399714541082,-0.0032830778532503,7.2172567411e-05,-0.0036631744077516,121435028
2024-02-03_02:04:21,1706925861641415,2299,525879640,1,-0.0003892555866961,-0.0001991154991469,0.0004379302697387,-0.0024523868651691,-0.0001543201604692,-0.0038936176759847,3748234752
2024-02-03_02:04:21,1706925861651591,2299,525879650,1,-0.0003829720522861,-0.0001968964461723,0.0004261526178837,-0.0020348084994259,-0.0002065595428009,-0.0039723222108209,3264848182
2024-02-03_02:04:21,1706925861661363,2299,525879660,2,-0.0007033867609764,-0.0003943061627099,0.0008236122406716,-0.0070685484870345,-0.0005001891014069,-0.0085210040464049,2330729259
2024-02-03_02:04:21,1706925861671456,2299,525879670,1,-0.0002842564305142,-0.000242465726197,0.0004289811443067,-0.0048034943551359,-0.0004055014525802,-0.0052854122125175,3436510499
2024-02-03_02:04:21,1706925861680737,2299,525879680,1,-0.0002675003005952,-0.0002340155449552,0.0004468952859584,-0.0034216889008964,0.001233000551953,-0.0035068640769142,1560688497
2024-02-03_02:04:21,1706925861690707,2299,525879690,1,-0.0002900769350311,-0.0001446334407287,0.0004508202238824,-0.0017885568356602,0.003709480283637,-0.00127499112882,1641015298
2024-02-03_02:04:21,1706925861701794,2299,525879700,2,-0.0006937426882169,0.000131725478603,0.0008688382192739,-0.0036611341299075,-0.0013450027611984,-0.0083479561160758,2285958290
2024-02-03_02:04:21,1706925861710862,2299,525879710,1,-0.0002433787181143,0.000244409356456,0.0004159370456088,-0.0039972324339715,-0.0011263760615449,-0.0011635362541032,3983148248
2024-02-03_02:04:21,1706925861720925,2299,525879720,1,-0.0003024437433884,0.0003064923909358,0.0004012292552063,-0.0038431359865654,-8.12353179565e-05,0.0008439858183134,2772936410
2024-02-03_02:04:21,1706925861730754,2299,525879730,1,-0.0003853160291659,0.0003217389632102,0.0003876838614752,-0.0031763585425171,-0.0012009624605533,0.0001813433428427,1239358266
2024-02-03_02:04:21,1706925861741447,2299,525879740,2,-0.000742371129154,0.0006008333790924,0.0007819547424497,-0.0039774797262702,-0.0015311321911813,-0.0037252393175292,1620004239
2024-02-03_02:04:21,1706925861751030,2299,525879750,1,-0.0002761990887873,0.0002864133891451,0.0003858826178908,-0.0002688085514318,-0.001395723664415,-0.00488825552064,2115797515
2024-02-03_02:04:21,1706925861760829,2299,525879760,1,-0.0001484635370104,0.0002894575502554,0.000372559986181,-0.0003152673171838,-0.0008919740171507,-0.0040415200404182,1147422604
2024-02-03_02:04:21,1706925861770722,2299,525879770,1,-7.62878658147e-05,0.0002653160558053,0.0003808973133417,-0.0001464339040178,-0.0003832354537221,-0.0035078178938365,3868188510
2024-02-03_02:04:21,1706925861781004,2299,525879780,2,-0.0001700459397317,0.0004692896578499,0.000781776672947,-0.0021041255479076,-0.0001748371200253,-0.0057057113349755,3115927353
2024-02-03_02:04:21,1706925861791292,2299,525879790,1,-4.48040900848e-05,0.0001909633212246,0.0003997188416964,-0.0016153005324026,-0.0008949518719408,-0.0038824201416527,532948469
2024-02-03_02:04:21,1706925861802160,2299,525879800,1,3.76647409859e-05,0.0001683680400817,0.0003958630129161,-5.70501739745e-05,-0.0007686100715343,-0.0031274895613908,3219009525
2024-02-03_02:04:21,1706925861811498,2299,525879810,1,9.7977829909e-05,0.0001734611613152,0.0003893740668094,-4.9419379096e-06,-0.0010232405959394,-0.0016132828894981,735845457
2024-02-03_02:04:21,1706925861820792,2299,525879820,2,0.0002396126017896,0.000308874080788,0.0007643897328772,-0.0044121830492629,-0.0003066792748051,-0.0021674316151205,3743304414
2024-02-03_02:04:21,1706925861831280,2299,525879830,1,0.000135277651874,0.0001000123339644,0.000382692502454,-0.0032700620971283,-0.0010705134597535,-0.0030368283600107,1204782922
2024-02-03_02:04:21,1706925861841326,2299,525879840,1,0.0002000282154768,4.8582525659e-05,0.0003893015093036,-0.0039666301399598,-0.0010665031254287,-0.0030760300736569,2878285482
2024-02-03_02:04:21,1706925861850713,2299,525879850,1,0.0002852696343559,-4.3124328396e-06,0.0003999235582069,-0.0040871010973448,-0.0006489450081105,-0.0021082609713558,3842439940
2024-02-03_02:04:21,1706925861860829,2299,525879860,2,0.0006968431240707,-1.66781740087e-05,0.0007787022786064,-0.0053919604735568,-0.0003575408189728,-0.0099446015654814,2520369307
2024-02-03_02:04:21,1706925861870713,2299,525879870,1,0.000444656091996,2.1911003742e-06,0.0003679460388257,-0.0036898229373462,-0.001939897986059,-0.0065167601662097,1235301818
2024-02-03_02:04:21,1706925861881341,2299,525879880,1,0.0005342201312795,-4.059675697e-06,0.0003670863697519,-0.0051916751655479,-0.0010403961907413,-0.0037276488690183,837489726
2024-02-03_02:04:21,1706925861891556,2299,525879890,1,0.0006031591946528,-2.12040485382e-05,0.0003670469599646,-0.0064754811249041,0.000504338808104,-0.0017374695729667,2350446901
2024-02-03_02:04:21,1706925861902532,2299,525879900,2,0.0012185435961739,-8.00395192496e-05,0.0007494820422754,-0.0129640623873572,0.0012938435743727,-0.0086961594171195,1001043221
2024-02-03_02:04:21,1706925861911301,2299,525879910,1,0.0006676085003384,-3.75798732039e-05,0.000381823567185,-0.0053086353793303,0.0001833754990293,-0.0050326247879169,3826676944
2024-02-03_02:04:21,1706925861921322,2299,525879920,1,0.0007463056835752,-1.28391252345e-05,0.0003780105468055,-0.0045126270444311,-0.0010357098032303,-0.0036371313063864,1836191943
2024-02-03_02:04:21,1706925861931361,2299,525879930,1,0.0008120188325691,-1.2996439254e-06,0.0003814881449521,-0.004539160512071,-0.0005382660511175,-0.0008859119152249,4139487196
2024-02-03_02:04:21,1706925861941284,2299,525879940,2,0.001574016281038,0.0001100705901673,0.0007407952945009,-0.0076607861202025,0.0021300769874983,0.005315052989729,2913941610
2024-02-03_02:04:21,1706925861951432,2299,525879950,1,0.000734546520997,0.000113192200603,0.0003536718131258,-0.0061188532373281,0.0003496429246713,-0.0010276743964859,1683915032
2024-02-03_02:04:21,1706925861961385,2299,525879960,1,0.0007915602500918,6.45142236048e-05,0.0003746978034918,-0.0067627492294953,0.000273568277373,-0.0018751337302759,2317514122
2024-02-03_02:04:21,1706925861970734,2299,525879970,1,0.0008374315056577,1.49777681847e-05,0.0003907727689377,-0.0058900085873195,4.92348584622e-05,-0.0007166862689248,2907761282
2024-02-03_02:04:21,1706925861981339,2299,525879980,2,0.001558206557618,3.9450508845e-06,0.0007560584374448,-0.0064511536378752,0.0040023349137491,-0.0001977192413957,2576458735
2024-02-03_02:04:21,1706925861990698,2299,525879990,1,0.0007432279664185,-1.19267734715e-05,0.0003646347180593,-0.0023433419596678,-0.0007624922768875,-0.004478970515861,923194491
2024-02-03_02:04:22,1706925862003743,2299,525880000,1,0.0008640349622279,-3.8699041835e-05,0.0003656929528208,-0.0030285057239825,-0.0006765064387347,-0.0039624814755207,1667729921
2024-02-03_02:04:22,1706925862010739,2299,525880010,1,0.0009560654419834,-8.34824780256e-05,0.0003761304466744,-0.0036072073127207,0.0004048632716371,-0.0001774908920918,1344569885
2024-02-03_02:04:22,1706925862020872,2299,525880020,2,0.0019036923139553,-0.0001972197028307,0.000777792109254,-0.0059372414629039,0.0017181337225036,0.0049029706507645,1823203579
2024-02-03_02:04:22,1706925862031003,2299,525880030,1,0.0008623240110884,-5.43260365911e-05,0.000405268021311,-0.0006404760105405,0.0006475534739121,0.001207623988583,492120725
2024-02-03_02:04:22,1706925862041322,2299,525880040,1,0.0008352538604287,7.07384696691e-05,0.0003853052914856,0.0028188717378177,0.0006760016621999,-0.0030235249159746,1180177501
2024-02-03_02:04:22,1706925862050575,2299,525880050,1,0.0008620855153854,0.0002564806192119,0.0003489191047778,0.0020282479872138,0.0024917969274064,-0.0069975183803337,2503444701
2024-02-03_02:04:22,1706925862061578,2299,525880060,2,0.0017431964457377,0.0007365223634699,0.0007210328547927,-0.0083673433633107,0.0044136245458685,-0.0143165565810767,3168512072
