,Localtime,gps_epoch_second,Receivetime,Week,Seconds,ImuStatus,ZAccel,YAccel,XAccel,ZGyro,YGyro,XGyro,CrcCheck
158,2024-02-03_02:04:18,1706925752.988,1706925858385457,2299,525770988,3850042880,-332077504,14654527,481783,-13214093,12793518,3187661,3320647000
159,2024-02-03_02:04:18,1706925752.996,1706925858386331,2299,525770996,3850042880,-332609509,13945280,3649672,-12051740,10094455,2524718,2475570651
160,2024-02-03_02:04:18,1706925753.004,1706925858386971,2299,525771004,3850108416,-322992539,17947539,13738588,-10897078,8462110,2389541,1082201872
161,2024-02-03_02:04:18,1706925753.012,1706925858387448,2299,525771012,3850108416,-314664498,14293815,20220057,-10545306,9371772,-106841,1260291900
162,2024-02-03_02:04:18,1706925753.02,1706925858388098,2299,525771020,3850108416,-310281954,11787912,16776373,-11266969,10778400,91241,3525229922
163,2024-02-03_02:04:18,1706925753.028,1706925858388720,2299,525771028,3850108416,-302099653,13644295,8980855,-11632294,10410887,-217742,629889810
164,2024-02-03_02:04:18,1706925753.036,1706925858389190,2299,525771036,3850108416,-300787138,12790125,5576969,-10705415,7641264,-2744185,1710861286
165,2024-02-03_02:04:18,1706925753.044,1706925858389777,2299,525771044,3850108416,-305407424,13417071,2544574,-9643175,4314785,-3787544,533723875
166,2024-02-03_02:04:18,1706925753.052,1706925858389976,2299,525771052,3850108416,-308022305,13846938,1232481,-8713364,282512,-2540556,2331544342
167,2024-02-03_02:04:18,1706925753.06,1706925858390622,2299,525771060,3850108416,-310402385,12702535,2139132,-8694726,-2289247,-5251847,533811237
168,2024-02-03_02:04:18,1706925753.068,1706925858391144,2299,525771068,3850108416,-311708186,8522750,-1536569,-9914303,-3864379,-3102862,1980514523
169,2024-02-03_02:04:18,1706925753.076,1706925858391635,2299,525771076,3850042880,-304094870,14658640,-6021361,-10838003,-6090270,-1098035,2558691576
170,2024-02-03_02:04:18,1706925753.084,1706925858392062,2299,525771084,3850042880,-306301272,12231616,-10567986,-10946570,-8126957,-3885997,4161690890
171,2024-02-03_02:04:18,1706925753.092,1706925858392289,2299,525771092,3850042880,-310918345,10251625,-19036693,-10713354,-11570938,-3615064,3275574997
172,2024-02-03_02:04:18,1706925753.1,1706925858393338,2299,525771100,3850108416,-312844575,20668653,-16259791,-10263815,-15483625,-5069770,995199927
173,2024-02-03_02:04:18,1706925753.108,1706925858393889,2299,525771108,3850108416,-334608450,15473502,-6547194,-11673051,-13581822,-10017615,100898749
174,2024-02-03_02:04:18,1706925753.116,1706925858394343,2299,525771116,3850108416,-350357056,9676137,-12220955,-13487555,-10264222,-6449280,2233355759
175,2024-02-03_02:04:18,1706925753.124,1706925858394912,2299,525771124,3850042880,-341149159,19919145,-22049168,-13618094,-10551036,-2914907,3205450188
176,2024-02-03_02:04:18,1706925753.132,1706925858395394,2299,525771132,3850042880,-349404947,20118704,-17463099,-14029814,-10080107,-7407354,2558499044
177,2024-02-03_02:04:18,1706925753.14,1706925858396080,2299,525771140,3850042880,-369902002,13861417,-10693781,-14953889,-8907395,-5450003,2794352580
178,2024-02-03_02:04:18,1706925753.148,1706925858396621,2299,525771148,3850042880,-366906654,16485897,-6803268,-15257816,-8060444,-2298711,3381871079
179,2024-02-03_02:04:18,1706925753.156,1706925858397119,2299,525771156,3850042880,-364117658,12822040,4627467,-14874926,-7190782,1803033,3261051702
